1G1,Chevrolet
2G1,Chevrolet
3G1,Chevrolet
KL1,Chevrolet
1G2,Pontiac
2G2,Pontiac
3G2,Pontiac
5Y2,Pontiac
6G2,Pontiac
KL2,Pontiac
1G4,Buick
2G4,Buick
1G6,Cadillac
LSG,Cadillac
1G8,Saturn
W08,Saturn
1GB,Chevrolet
2GB,Chevrolet
3GB,Chevrolet
1GC,Chevrolet
2GC,Chevrolet
3GC,Chevrolet
1GA,Chevrolet
1GN,Chevrolet
3GN,Chevrolet
2CN,Chevrolet
1GD,GMC
2GD,GMC
3GD,GMC
1GT,GMC
2GT,GMC
3GT,GMC
1GJ,GMC
1GK,GMC
3GK,GMC
3G5,Buick
4GL,Buick
5GA,Buick
5S3,SAAB
4NT,Saturn
5GZ,Saturn
1GE,Cadillac
1GY,Cadillac
3GYCadillac
1G5,Pontiac
1GM,Pontiac
2CK,Pontiac
3G7,Pontiac
1GG,Isuzu
4NU,Isuzu
4KL,Isuzu
JAL,Isuzu
5GN,Hummer
5GR,Hummer
5GT,Hummer